time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006305,-0.1365,-0.1794,-0.0731,0.237
0.025712,0.2428,-0.1585,-0.2569,0.387
0.045916,0.0857,-0.1069,-0.1292,0.188
0.066685,-0.0520,-0.1911,0.0596,0.207
0.087905,0.0569,-0.1933,0.0316,0.204
0.106824,-0.1606,-0.2499,0.1072,0.316
0.126992,-0.2333,-0.2292,0.1306,0.352
0.147329,-0.0354,-0.1261,0.0365,0.136
0.167731,-0.0177,-0.0923,-0.0773,0.122
0.188009,-0.0861,-0.0671,-0.0724,0.131
0.207237,0.0270,-0.1048,0.0883,0.140
0.228342,-0.0435,-0.2407,0.2447,0.346
0.248428,-0.0624,-0.2622,0.2400,0.361
0.268816,0.1045,-0.2303,0.1550,0.297
0.288717,0.0577,-0.2809,0.2023,0.351
0.309030,0.0102,-0.2800,0.1406,0.314
0.329320,0.0759,-0.1257,-0.0810,0.168
0.349514,0.1647,-0.0947,-0.1097,0.219
0.369856,0.0549,-0.2143,0.0371,0.224
0.389904,-0.0202,-0.1948,0.1173,0.228
0.410283,0.0879,-0.1613,0.0556,0.192
0.430694,0.0793,-0.1880,0.0083,0.204
0.450795,0.0041,-0.1727,0.0701,0.186
0.470226,0.0635,-0.2339,0.2116,0.322
0.490242,0.1050,-0.3395,0.3062,0.469
0.511076,0.0874,-0.4078,0.2683,0.496
0.530312,0.2572,-0.4620,0.3673,0.644
0.552680,0.4008,-0.4651,0.2437,0.661
0.571392,0.5848,-0.4040,-0.1022,0.718
0.591509,0.6040,-0.4844,-0.2023,0.800
0.611541,0.5165,-0.6006,-0.1129,0.800
0.631876,0.6212,-0.6677,-0.1130,0.919
0.651905,0.6479,-0.8177,0.0663,1.045
0.672249,0.4739,-0.9807,0.0889,1.093
0.692296,0.3761,-0.9936,-0.0958,1.067
0.712632,0.3630,-1.0415,-0.2241,1.126
0.732677,0.1145,-1.1541,-0.2815,1.193
0.752796,-0.3271,-1.3387,-0.2485,1.400
0.774768,-0.6055,-1.4847,-0.1866,1.614
0.793354,-0.6066,-1.5103,0.0165,1.628
0.814700,-0.6340,-1.5250,-0.0641,1.653
0.833634,-0.7815,-1.4794,-0.3434,1.708
0.855157,-1.0903,-1.3770,-0.3308,1.787
0.875424,-1.3670,-1.0072,-0.4215,1.750
0.895530,-1.3707,-0.5946,-0.6305,1.622
0.916029,-1.4143,-0.5193,-0.7682,1.691
0.935814,-1.7077,-0.5396,-0.3238,1.820
0.955983,-1.8162,-0.1815,-0.0528,1.826
0.976543,-1.6275,0.3890,-0.0790,1.675
0.996569,-1.8611,0.5288,-0.1844,1.944
1.016780,-1.9433,0.2937,0.2535,1.982
1.036346,-1.6733,0.3997,0.9676,1.974
1.056190,-1.6063,0.4384,1.0056,1.945
1.076299,-1.6596,0.6320,0.8589,1.973
1.097927,-1.8056,0.9051,0.4474,2.069
1.116695,-1.6409,1.0594,0.2577,1.970
1.138395,-1.1054,1.4016,0.4221,1.834
1.157137,-1.1599,1.6612,-0.0603,2.027
1.178655,-0.9660,1.6750,-0.1353,1.938
1.197710,-0.2684,1.4423,0.8326,1.687
1.219187,0.0863,1.5480,0.7704,1.731
1.238328,-0.0151,1.9087,0.0746,1.910
1.259020,0.3837,2.0262,0.0348,2.062
1.278799,0.7624,1.7489,0.4979,1.972
1.298770,0.7359,1.8895,0.0441,2.028
1.318762,0.9241,2.0548,-0.2713,2.269
1.339030,1.4495,1.8415,0.3008,2.363
1.359393,1.1715,1.6434,0.3982,2.057
1.379730,1.0528,1.9306,-0.1646,2.205
1.399734,1.8658,2.0275,-0.3470,2.777
1.420243,2.1718,1.7600,0.1479,2.799
1.440515,1.6979,1.3545,0.4738,2.223
1.461731,1.6718,1.2272,0.7323,2.199
1.482483,1.9833,1.3057,0.7686,2.496
1.501653,1.9532,1.3512,0.3489,2.400
1.521316,1.8166,1.2573,-0.3007,2.230
1.541829,2.3902,1.2966,-0.9182,2.870
1.561908,2.5748,0.9253,-0.6524,2.813
1.582677,2.6304,0.6242,0.0827,2.705
1.602573,2.6164,0.4557,0.1215,2.659
1.622938,2.9757,0.5606,0.1281,3.031
1.643477,2.4248,-0.1315,0.1918,2.436
1.663328,2.4732,-0.3079,-0.0822,2.494
1.683175,2.5674,-0.2649,-0.5817,2.646
1.704208,2.2324,-0.7439,-1.1970,2.640
1.723862,1.3876,-1.4391,-1.6084,2.566
1.744594,0.8867,-1.4571,-1.1706,2.069
1.764181,1.3201,-1.3304,-1.1019,2.174
1.784264,1.0537,-1.4588,-1.2837,2.210
1.804835,0.8541,-1.8330,-1.0497,2.278
1.824947,1.2195,-2.4494,-0.4631,2.775
1.845100,1.2712,-2.9152,0.0702,3.181
1.866303,0.7224,-3.1176,0.1445,3.203
1.885819,0.7746,-3.0117,-0.6561,3.178
1.906855,0.7027,-3.1647,-0.4476,3.273
1.925997,0.1943,-3.1649,-0.1765,3.176
1.948998,0.0223,-2.8894,-0.8166,3.003
1.967472,0.2273,-2.7680,-0.7849,2.886
1.991197,-0.7184,-3.3431,0.7023,3.491
2.011324,-2.2222,-3.2218,1.2003,4.094
2.030238,-2.9728,-2.0936,-0.5999,3.685
2.055159,-2.5349,-0.6029,-2.0956,3.344
2.069731,-2.2339,-0.3291,-2.5934,3.439
2.090082,-2.6841,-1.1415,-1.1297,3.128
2.109648,-3.2279,-1.9325,0.9365,3.877
2.131024,-3.8948,-2.1851,1.7349,4.791
2.150531,-3.9920,-1.5857,1.4185,4.524
2.172361,-3.4557,-0.5365,1.2877,3.727
2.189704,-2.4132,0.3409,0.4947,2.487
2.211373,-3.2344,0.2660,0.5473,3.291
2.229521,-4.3749,0.1013,1.6386,4.673
2.252855,-4.7128,0.4269,2.4646,5.335
2.270699,-3.7984,2.0647,0.6389,4.370
2.294259,-3.0509,2.9899,-1.5535,4.545
2.311026,-4.0173,2.4473,-0.6883,4.754
2.334201,-4.5405,1.5296,1.1464,4.926
2.352603,-3.5294,1.2186,1.6762,4.093
2.375272,-2.2616,1.5788,1.2064,3.010
2.393179,-1.9003,2.0117,0.0179,2.767
2.417853,-1.9622,2.3085,-0.7456,3.120
2.433565,-1.6604,2.1335,-0.0349,2.704
2.454189,-1.3660,2.0293,1.1185,2.690
2.476647,-0.3809,2.4375,0.5582,2.529
2.493444,-0.0769,2.8256,0.4880,2.868
2.514556,-0.5580,2.7423,1.2761,3.076
2.535081,-0.6401,3.3087,1.0280,3.523
2.553372,0.1206,4.1599,-0.6310,4.209
2.573347,0.8778,4.2398,-1.1020,4.468
2.593704,1.4723,4.0630,-0.2390,4.328
2.616236,2.2239,3.6863,0.6317,4.351
2.633790,2.6081,3.4192,0.5834,4.340
2.654882,3.0974,3.6153,-0.0186,4.761
2.674392,4.2267,3.9728,-0.1935,5.804
2.695965,4.1004,3.6188,-0.4767,5.490
2.717201,3.2120,3.3431,-1.5012,4.873
2.735354,3.9005,3.4521,-2.1268,5.626
2.757334,4.4506,2.6536,-1.6751,5.446
2.775599,3.6229,1.3360,-0.4035,3.882
2.798110,3.5267,1.3537,0.7307,3.848
2.816217,4.0071,1.5567,0.3753,4.315
2.838033,4.1065,0.9414,-0.4666,4.239
2.856582,4.2302,-0.0657,-0.4761,4.257
2.877091,4.4860,-0.3344,0.5713,4.535
2.897586,3.7004,-0.5355,0.2980,3.751
2.917797,4.1276,-0.6027,-0.3161,4.183
2.937752,3.8201,-1.7199,-0.6334,4.237
2.957701,2.8287,-2.8054,-0.4801,4.013
2.978450,2.4480,-2.8806,-0.2885,3.791
2.998120,2.9489,-1.7183,-1.3499,3.670
3.018664,1.9448,-1.6642,-2.8833,3.856
3.040421,2.0852,-2.2872,-2.0979,3.739
3.058950,2.0704,-3.6489,-0.7224,4.257
3.078753,1.5877,-4.1839,0.2376,4.481
3.099311,1.3888,-3.8522,-0.2244,4.101
3.119267,0.8375,-3.5206,-0.6117,3.670
3.139721,0.9292,-3.2634,-0.9175,3.515
3.159583,1.4399,-3.0310,-1.4510,3.656
3.180551,1.0999,-3.4682,-1.6361,3.989
3.200270,0.0099,-3.7610,-0.9911,3.889
3.220148,-1.0334,-3.6084,0.2269,3.760
3.240567,-1.8662,-3.3788,0.5855,3.904
3.260682,-2.4631,-2.7326,-0.1899,3.684
3.280886,-2.9923,-1.7668,-1.0896,3.642
3.302686,-2.7660,-1.0387,-1.1012,3.153
3.321242,-3.1674,-1.6111,-0.0567,3.554
3.343477,-3.5840,-1.7654,0.7492,4.065
3.365155,-4.0825,-1.6960,1.5459,4.683
3.385416,-4.8881,-1.3741,1.7663,5.376
3.406464,-4.2224,-0.3120,1.3925,4.457
3.424090,-2.2664,1.3568,0.5111,2.690
3.444042,-2.3769,1.4132,-0.0101,2.765
3.463989,-5.0153,1.0392,1.9309,5.474
3.483018,-6.7289,1.7300,1.7983,7.177
3.503186,-5.8274,3.4720,-0.1498,6.785
3.523711,-3.7279,4.7346,-2.0399,6.362
3.546415,-4.0360,3.8796,-2.1289,5.989
3.566456,-5.0980,2.9261,-0.1388,5.880
3.586491,-3.9032,2.3074,0.2222,4.540
3.607279,-0.9347,2.3557,-0.0244,2.534
3.626760,0.0373,2.3177,-0.0314,2.318
3.646596,-1.5028,2.3631,-0.9296,2.951
3.666261,-2.3914,1.9556,-1.0649,3.268
3.687167,-1.6848,1.5343,0.5309,2.340
3.707088,-1.4790,1.7701,1.1924,2.597
3.726828,-2.0371,1.8982,0.2614,2.797
3.747928,-2.4995,1.7167,0.3872,3.057
3.768505,-2.5188,1.4780,0.7437,3.014
3.791163,-1.2283,1.7103,0.5340,2.172
3.807153,-0.6763,1.8169,1.0894,2.224
3.827842,-0.7626,1.9345,1.5971,2.622
3.848102,-0.2599,2.2559,1.6334,2.797
3.867843,0.7466,2.8760,1.4730,3.316
3.887899,0.8938,3.2247,1.0266,3.500
3.910465,0.4594,3.4759,0.6598,3.568
3.929857,0.7068,3.5937,0.5185,3.699
3.951067,1.6386,3.3528,0.4695,3.761
3.969314,3.7643,3.1187,0.2344,4.894
3.993979,4.6219,3.0106,0.3191,5.525
4.011757,4.2546,2.7682,0.4579,5.096
4.032156,4.3856,2.7834,-0.7791,5.252
4.049778,4.4252,3.1399,-2.1309,5.829
4.071049,4.2637,3.2258,-2.2912,5.817
4.090663,4.6434,2.6934,-1.9222,5.702
4.112354,4.4642,2.3612,-0.9037,5.130
4.131056,4.7744,2.5293,-0.6908,5.447
4.151006,4.7225,1.4446,-1.2571,5.096
4.170866,5.1264,0.6451,-0.6904,5.213
4.191723,5.2935,0.6099,0.3274,5.339
4.212116,5.3583,0.2749,-0.2441,5.371
4.231922,4.6098,-0.5661,-0.5965,4.683
4.252132,4.7362,-0.9768,-0.0913,4.837
4.273341,4.0388,-1.4929,-0.2293,4.312
4.292647,3.7077,-0.6319,-0.8580,3.858
4.312781,3.0011,-0.7263,-2.3545,3.883
4.333103,3.2291,-1.3352,-1.7243,3.897
4.353036,3.4326,-2.4571,-0.3099,4.233
4.375853,2.4956,-3.0267,0.0931,3.924
4.393518,2.0305,-2.5677,-0.5627,3.322
4.416417,1.3155,-2.7412,-1.1550,3.252
4.433521,1.0137,-2.9839,-0.5610,3.201
4.455723,1.3411,-3.0874,0.1421,3.369
4.474244,1.4407,-3.3727,0.2832,3.678
4.496726,0.7828,-3.8014,-0.0476,3.881
4.516050,0.7021,-3.5964,-0.2059,3.670
4.537259,0.8365,-3.2739,-0.6461,3.440
4.557011,0.7819,-3.2659,-0.8638,3.467
4.576284,-0.7383,-3.6831,-0.0211,3.756
4.597096,-2.6473,-3.4389,0.3950,4.358
4.618712,-3.2553,-2.4361,-0.7401,4.133
4.637377,-2.9095,-1.1570,-1.2380,3.367
4.658698,-0.3295,-0.1448,-1.4559,1.500
4.677204,-1.3221,-1.1510,-0.5265,1.830
4.698734,-6.1464,-1.7505,1.4952,6.563
4.717277,-8.4883,-1.4251,1.1613,8.685
4.739196,-7.2398,-0.4004,-0.2832,7.256
4.758280,-2.4133,2.2015,-1.3497,3.534
4.779790,-1.0643,0.9316,-0.7571,1.604
4.797655,-5.5492,-0.2925,2.6465,6.155
4.820659,-7.8544,0.2359,2.2810,8.182
4.838164,-7.2037,1.1318,0.7852,7.334
4.859185,-4.9602,3.5458,-0.3958,6.110
4.878929,-2.4739,3.9380,-2.2049,5.147
4.904175,-3.8963,2.0764,0.3340,4.428
4.919177,-5.2802,1.0435,3.9647,6.685
4.939186,-4.0759,2.0534,2.0546,5.005
4.959566,-1.5141,3.8629,-1.9395,4.580
4.981028,-0.3452,3.5681,-2.6283,4.445
4.999786,-1.5099,2.4026,-0.2251,2.847
5.020399,-1.5628,1.9908,0.3248,2.552
5.040221,0.0279,1.7252,0.5229,1.803
5.060435,0.5982,1.6337,0.9350,1.975
5.080605,-0.5746,2.1130,-0.6079,2.273
5.100638,-1.6425,2.3757,-1.4355,3.225
5.121500,-1.6086,2.0705,-0.1181,2.625
5.142118,-0.5087,1.9859,0.9321,2.252
5.162016,0.5049,2.2369,0.7767,2.421
5.182250,0.5138,2.3949,0.7519,2.562
5.202067,-0.4043,2.2562,1.1740,2.575
5.222791,-0.4070,2.5252,0.6156,2.631
5.242491,1.2552,3.3472,-0.1266,3.577
5.262874,1.9777,3.2864,0.3558,3.852
5.282850,1.8765,2.7400,0.9780,3.462
5.303170,2.7286,2.8256,0.6773,3.986
5.323635,3.0214,2.8608,0.3046,4.172
5.344076,2.9013,2.8431,-0.0156,4.062
5.364015,3.7688,2.9317,-0.2174,4.780
5.384282,4.4085,2.6857,-0.0755,5.163
5.404344,4.0678,1.8033,0.0755,4.450
5.424831,3.3222,1.0652,-0.2520,3.498
5.445737,3.9374,1.1054,-0.3865,4.108
5.465068,2.9725,0.3777,0.1099,2.998
5.485933,2.4376,0.3720,-0.0809,2.467
5.505162,3.1859,0.0852,-0.4926,3.225
5.525821,3.4944,-0.1114,0.0817,3.497
5.549423,2.9937,-0.0683,-0.2431,3.004
5.572075,1.9213,-0.4970,-0.6479,2.088
5.592691,1.1094,-1.2740,-0.9122,1.920
5.611871,2.0598,-0.8635,-0.6152,2.317
5.631048,2.3663,-1.0165,-0.7185,2.674
5.650969,1.0740,-1.3459,-0.8409,1.916
5.671187,0.9290,-1.0108,-1.1759,1.808
5.690994,1.6335,-1.1180,-0.7276,2.109
5.709594,0.5836,-1.8753,-0.2830,1.984
5.732254,0.4948,-1.7339,-0.2897,1.826
5.748741,0.6133,-2.0156,-0.1204,2.110
5.772515,0.0259,-2.2568,0.1779,2.264
5.790855,0.0335,-1.5213,-0.1334,1.528
5.812133,-0.0023,-1.3688,-0.9526,1.668
5.831509,-0.8773,-1.3188,-0.9984,1.872
5.854644,-0.2134,-0.9426,-0.3090,1.015
5.871974,-0.1855,-1.3187,0.1272,1.338
5.893605,-1.2578,-1.4913,0.3823,1.988
5.911936,-1.0674,-1.3461,0.6500,1.837
5.934277,-0.7989,-1.5063,1.1341,2.048
5.952227,-0.9248,-1.3985,1.1610,2.039
5.973363,-0.6221,-0.8646,0.4820,1.169
5.992698,-0.6979,-0.8468,0.3693,1.158
6.014300,-1.0196,-0.6412,0.2418,1.228
6.033494,-1.4060,-0.3244,-0.4670,1.517
6.053338,-1.2142,-0.1243,-0.3335,1.265
6.075887,-0.5388,-0.0218,-0.1256,0.554
6.092844,-0.2582,0.0011,-0.0912,0.274
6.114793,-0.4704,-0.3058,0.3043,0.638
6.135022,-0.5000,-0.4717,0.5575,0.885
6.152920,0.0345,-0.2772,0.3341,0.435
6.173429,0.3513,-0.2556,0.4454,0.622
6.192781,-0.0335,-0.3679,0.4802,0.606
6.215514,-0.1455,-0.1074,0.0703,0.194
6.233443,0.1974,0.0822,-0.1702,0.273
6.254710,0.0210,0.0573,-0.2221,0.230
6.273500,-0.0410,0.1428,-0.1784,0.232
6.294206,0.3043,0.1754,-0.2192,0.414
6.314207,0.0361,-0.0277,-0.3918,0.394
6.334782,-0.2923,-0.1666,-0.0513,0.340
6.355669,0.1202,-0.1935,0.7282,0.763
6.375849,0.2636,-0.8748,1.1965,1.505
6.396405,0.4177,-0.1827,0.0817,0.463
6.415000,0.2702,0.2491,-0.4151,0.554
