time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003634,0.1002,-0.0016,0.7562,0.763
0.023869,0.1761,0.0432,0.2680,0.324
0.043163,-0.0878,-0.0322,-0.6178,0.625
0.063943,-0.0343,-0.1130,-0.3526,0.372
0.084426,0.2020,-0.1677,0.2909,0.392
0.104322,0.0139,-0.0151,0.2232,0.224
0.124402,-0.1234,0.0992,0.1140,0.195
0.144807,0.0601,0.0752,0.2142,0.235
0.165015,0.1605,0.0610,0.3021,0.347
0.185282,0.1440,-0.0056,0.1297,0.194
0.205261,0.0564,-0.0622,0.0460,0.096
0.225486,-0.1386,-0.0483,0.0363,0.151
0.245841,-0.0793,-0.0105,0.1011,0.129
0.266192,0.0956,-0.0161,-0.0772,0.124
0.286616,0.0275,-0.0216,-0.0727,0.081
0.306680,0.0746,-0.0648,0.0588,0.115
0.326972,0.1336,-0.0983,-0.0035,0.166
0.349601,0.0056,-0.0783,-0.0606,0.099
0.367448,-0.0066,0.0036,0.0137,0.016
0.390184,0.0299,0.0426,0.1944,0.201
0.407823,0.0126,0.0424,0.2051,0.210
0.430773,0.0142,0.0133,0.0794,0.082
0.448034,-0.0278,-0.0346,0.0175,0.048
0.470594,-0.0055,-0.0441,0.0216,0.049
0.490118,0.0303,-0.0444,0.0900,0.105
0.509623,0.0517,-0.0302,-0.0354,0.070
0.530314,0.0078,-0.0059,-0.0280,0.030
0.551082,0.0731,-0.0297,0.0849,0.116
0.569405,0.0864,-0.0864,0.0226,0.124
0.590489,0.0759,-0.0910,0.0359,0.124
0.611484,0.0754,-0.0525,0.0445,0.102
0.630272,0.0432,-0.0386,0.0241,0.063
0.651248,0.0202,-0.0050,0.0384,0.044
0.670847,0.0354,0.0047,-0.0148,0.039
0.691192,0.0318,-0.0283,0.0145,0.045
0.711224,0.0279,-0.0511,0.0630,0.086
0.731494,0.0192,-0.0277,0.0480,0.059
0.754426,0.0101,-0.0321,0.0082,0.035
0.774237,0.0383,-0.0028,0.0425,0.057
0.794997,0.0478,-0.0025,0.1449,0.153
0.814638,0.0390,-0.0123,0.1271,0.133
0.834547,0.0062,0.0018,0.0434,0.044
0.855155,0.0315,-0.0079,0.0533,0.062
0.874782,0.0330,-0.0368,0.0206,0.054
0.894795,-0.0196,-0.0505,-0.0035,0.054
0.914163,0.0212,-0.0414,-0.0083,0.047
0.936092,0.0866,-0.0502,0.0051,0.100
0.955302,0.0730,-0.0500,0.0790,0.119
0.976495,0.0156,-0.0311,0.0343,0.049
0.995327,-0.0013,0.0125,0.0655,0.067
1.016809,0.0295,0.0171,0.1759,0.179
1.035433,0.0332,-0.0071,0.0686,0.077
1.059033,-0.0205,-0.0361,0.0143,0.044
1.075648,0.0160,-0.0549,-0.0640,0.086
1.095637,0.0477,-0.0741,-0.0165,0.090
1.116198,0.0614,-0.0410,0.0534,0.091
1.138371,0.0945,-0.0216,0.0522,0.110
1.156480,0.0701,-0.0214,0.0935,0.119
1.179042,0.0606,-0.0355,0.1151,0.135
1.196959,0.0382,-0.0209,0.1182,0.126
1.219655,0.0680,-0.0019,0.1006,0.121
1.239246,0.0460,-0.0262,0.0026,0.053
1.259657,-0.0062,-0.0356,-0.0689,0.078
1.278563,-0.0022,-0.0443,-0.0185,0.048
1.299294,0.0452,-0.0353,0.0709,0.091
1.319465,0.0256,-0.0256,0.0233,0.043
1.339348,-0.0031,-0.0059,0.0579,0.058
1.359959,0.0301,-0.0058,0.1560,0.159
1.381186,0.0728,-0.0394,0.0532,0.098
1.399950,0.0294,-0.0393,0.0007,0.049
1.420891,0.0515,-0.0102,0.0220,0.057
1.441105,0.0754,-0.0052,0.0918,0.119
1.460798,0.0233,-0.0291,0.0488,0.061
1.481990,-0.0007,-0.0336,-0.0666,0.075
1.502905,0.0186,-0.0421,0.0201,0.050
1.522376,0.0088,-0.0042,0.0993,0.100
1.541439,0.0606,-0.0137,0.0330,0.070
1.563853,0.0650,-0.0228,0.0108,0.070
1.581086,0.0217,0.0064,0.0889,0.092
1.603213,0.0016,-0.0126,0.0362,0.038
1.621544,-0.0377,-0.0264,0.0092,0.047
1.643505,0.0087,-0.0212,0.0686,0.072
1.664243,0.0522,-0.0165,0.0783,0.096
1.684000,-0.0362,-0.0068,-0.0318,0.049
1.702465,-0.0790,-0.0015,-0.0204,0.082
1.722618,-0.0091,-0.0533,0.0255,0.060
1.745529,0.0169,-0.1009,0.0277,0.106
1.764627,-0.1080,-0.0530,0.0501,0.130
1.782970,-0.0953,-0.0302,0.0198,0.102
1.803164,-0.2197,-0.0781,-0.0199,0.234
1.823487,-0.3314,-0.0783,-0.1325,0.365
1.843869,-0.2755,0.0075,-0.1908,0.335
1.865773,-0.3227,-0.0156,-0.1788,0.369
1.884536,-0.6182,-0.0996,-0.1159,0.637
1.904709,-0.8335,-0.0356,-0.1384,0.846
1.924859,-0.8001,0.0179,-0.1500,0.814
1.944933,-1.1270,-0.0709,-0.1748,1.143
1.965350,-1.8348,-0.0861,-0.3985,1.880
1.987170,-1.7415,-0.0750,-0.2206,1.757
2.005556,-1.3452,-0.2934,0.4758,1.457
2.025992,-1.5465,-0.3167,0.9420,1.838
2.046097,-2.0497,-0.3017,0.1898,2.080
2.066331,-2.0960,-0.3908,-0.4139,2.172
2.087061,-1.8258,-0.2914,-0.0101,1.849
2.106402,-1.8009,-0.2245,0.1841,1.824
2.127467,-1.5236,-0.3106,0.1263,1.560
2.151664,-1.8952,-0.3269,0.1808,1.932
2.168165,-2.5084,-0.2486,-0.4436,2.559
2.190921,-1.7741,-0.0221,-1.1250,2.101
2.207899,-1.3150,0.1873,-1.0218,1.676
2.231420,-0.9536,0.2435,-0.2359,1.012
2.248757,-0.9624,0.0951,0.5249,1.100
2.271366,-1.3673,-0.1547,0.8089,1.596
2.291854,-1.4734,-0.0470,-0.0283,1.474
2.311170,-1.5258,0.0264,-1.0337,1.843
2.334298,-1.0284,0.1209,-0.9720,1.420
2.351436,-0.7310,0.1259,-0.1388,0.755
2.372008,-0.9238,0.0702,0.4733,1.040
2.391964,-0.3855,0.4028,0.6740,0.875
2.411334,0.0606,0.6301,0.1049,0.642
2.431481,0.1463,0.3341,-0.0487,0.368
2.450808,0.2114,0.1825,0.4136,0.499
2.471500,-0.2006,0.2323,0.2249,0.381
2.493853,-0.1698,0.1819,-0.3685,0.445
2.511442,0.4350,-0.0373,-0.5325,0.689
2.533741,1.1639,-0.1505,-0.4029,1.241
2.554789,0.8465,0.0012,-0.3072,0.901
2.572145,0.2453,0.2522,-0.6171,0.710
2.593610,0.9407,0.5017,-0.2246,1.090
2.617647,2.0107,0.7053,0.5973,2.213
2.637319,2.1736,0.7452,0.4740,2.346
2.654467,2.6262,0.8223,-0.2207,2.761
2.675409,3.1075,0.7343,-0.3107,3.208
2.697939,3.6237,0.5922,-0.6833,3.735
2.718028,3.8677,0.5612,-0.8173,3.993
2.738584,2.9299,0.1762,-0.8110,3.045
2.756976,3.0638,0.1470,-0.8637,3.187
2.776830,3.3588,-0.1032,-0.4070,3.385
2.797392,2.5761,-0.3634,-0.4183,2.635
2.819013,2.2139,-0.5289,-1.1802,2.564
2.841170,2.0790,-0.4390,-0.5014,2.183
2.859866,1.6434,-0.2824,0.0942,1.670
2.877959,1.1985,-0.2129,0.0817,1.220
2.898162,1.0613,-0.0505,-0.1730,1.076
2.917397,0.9007,0.0952,-0.0440,0.907
2.938658,0.4623,0.0015,0.1028,0.474
2.957450,0.1784,-0.1058,-0.1011,0.231
2.978020,-0.0801,-0.0762,0.2196,0.246
2.996793,-0.0972,0.0796,0.0513,0.136
3.021455,0.0674,0.2064,-0.2285,0.315
3.038080,0.0393,0.1423,0.0286,0.150
3.061743,0.1437,0.0935,-0.0561,0.180
3.081672,-0.0458,0.0110,0.0030,0.047
3.100012,-0.1099,-0.1916,0.1189,0.251
3.122326,0.0815,-0.1885,-0.1352,0.246
3.140774,-0.0187,-0.1847,-0.1246,0.224
3.163171,0.0767,-0.1914,0.3358,0.394
3.183552,0.1662,-0.1273,0.0424,0.214
3.203890,0.0300,-0.0336,-0.2317,0.236
3.224257,-0.0370,-0.1675,-0.0359,0.175
3.243670,-0.1755,-0.2972,0.1265,0.368
3.262086,-0.1823,-0.6322,0.1689,0.679
3.284444,-0.1059,-0.9970,0.1375,1.012
3.302498,-0.0702,-1.2920,-0.0136,1.294
3.322299,0.1338,-1.5493,0.0488,1.556
3.342415,0.4338,-2.0284,-0.2021,2.084
3.363056,0.2272,-2.6643,-0.7129,2.767
3.381342,-0.0505,-3.1449,-0.7438,3.232
3.403785,-0.1489,-3.4896,-0.4551,3.522
3.422449,-0.2887,-3.6439,-0.4968,3.689
3.443675,0.0044,-3.6797,-0.7848,3.762
3.462323,0.5724,-3.7761,-0.5941,3.865
3.484586,0.3203,-4.0627,-0.4069,4.096
3.502631,0.3106,-4.2948,-0.8213,4.384
3.523301,1.4833,-4.1700,-1.4753,4.665
3.544846,1.5632,-3.8391,-0.7370,4.210
3.564489,0.3405,-3.6197,0.2874,3.647
3.585723,-0.7327,-3.2547,0.5759,3.385
3.605917,-0.9454,-2.9296,0.4854,3.116
3.626204,0.2498,-2.4968,0.0518,2.510
3.645627,0.9520,-1.5819,-0.7206,1.982
3.666349,0.6651,-0.9897,-1.3526,1.803
3.684639,0.2386,-0.4991,-0.8572,1.020
3.707296,-0.0006,0.1837,-0.0117,0.184
3.725432,1.0033,1.1456,0.1284,1.528
